artist_name,track_name,release_date,genre,lyrics
Frank Ocean,Pink + White,2016,soul,"Yeah, yeah, oh (Woo) Yeah, yeah, yeah [Verse 1: Frank Ocean] That's the way every day goes Every time we've no control If the sky is pink and white If the ground is black and yellow It's the same way you showed me Nod my head, don't close my eyes Halfway on a slow move It's the same way you showed me If you could fly, then you'd feel south Up north's getting cold soon The way it is, we're on land So I'm someone to hold true Keep you cool when it's still alive Won't let you down when it's all ruin Just the same way you showed me, showed me [Chorus: Frank Ocean] You showed me love Glory from above Regard, my dear It's all downhill from here [Verse 2: Frank Ocean] In the wake of a hurricane Dark skin of a summer shade Nosedive in the flood lines Tall tower of milk crates It's the same way you showed me Cannonball off the porch side Older kids trying off the roof Just the same way you showed me (You showed) If you could die and come back to life Up for air from the swimming pool You'd kneel down to the dry land Kiss the earth that birthed you Gave you tools just to stay alive And make it out when the sun is ruined That's the same way you showed me, showed me [Chorus: Frank Ocean, Frank Ocean & Beyoncé] You showed me love (Ah) Glory from above Regard, my dear (Ah) It's all downhill from here [Outro: Frank Ocean, Frank Ocean & Beyoncé] Remember life, remember how it was? (Ah) Climb trees, Michael Jackson, all ends here (Recalling) Say what up to Matthew, to Shoob (Ooh) Say what up to Danny Say what up to life, immortality (Ah, yeah) Bending up my Nikes Running out of the Melpomene, nicotine (Ah, yeah) Stealing granny cigs (Take it easy) Gimme something sweet Bitch, I might like immortality (Woo) This is life, life immortality"
Frank Ocean,White Ferrari,2016,soul,"[Verse 1: Frank Ocean] Bad luck to talk on these rides Mind on the road, your dilated eyes watch the clouds float White Ferrari, had a good time Sweet sixteen, how was I supposed to know anything? (Love) I let you out at Central I didn't care to state the plain Kept my mouth closed We're both so familiar White Ferrari, good times [Verse 2: Frank Ocean] Stick by me, close by me You were fine, you were fine here That's just a slow body You left when I forgot to speak So I text the speech, lesser speeds, Texas speed, yes Basic takes its toll on me 'ventually, 'ventually, yes Ah, on me 'ventually, 'ventually, yes I care for you still, and I will forever That was my part of the deal, honest We got so familiar Spending each day of the year White Ferrari, good times [Bridge: Frank Ocean & Kanye West] In this life (Life), in this life (Life) One too many years Some tattooed eyelids on a facelift Thought you might want to know now Mind over matter is magic, I do magic If you think about it, it'll be over in no time And that's life (Love) Love (Love) [Verse 3: Frank Ocean] I'm sure we're taller in another dimension You say we're small and not worth the mention You're tired of movin' (Woo), your body's achin' (Woah) We could vacay, there's places to go Clearly, this isn't (The way) all that there is Can't take what's been given (No way) But we're so okay here (We're fine), we're doing fine (We're fine) Primal and naked You dream of walls that hold us in prison (Love) It's just a skull, least that's what they call it And we're free to roam"
Mark Ronson,Uptown Funk (feat. Bruno Mars),2015,soul,"Doh Doh-doh-doh, doh-doh-doh, doh-doh Doh-doh-doh, doh-doh-doh, doh-doh Doh-doh-doh, doh-doh-doh, doh-doh Doh-doh-doh, doh-doh (Aw, ow) [Verse 1] This hit, that ice cold Michelle Pfeiffer, that white gold This one for them hood girls Them good girls, straight masterpieces Stylin', wilin', livin' it up in the city Got Chucks on with Saint Laurent Gotta kiss myself, I'm so pretty [Refrain] I'm too hot (Hot damn) (Doh) Uh, call the police and the fireman (Doh-doh-doh, doh-doh-doh, doh-doh) I'm too hot (Hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Make a dragon wanna retire, man I'm too hot (Hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Say my name, you know who I am I'm too hot (Hot damn) (Doh-doh-doh, doh-doh, doh, doh) And my band 'bout that money, break it down [Pre-Chorus] Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) 'Cause uptown funk gon' give it to you (Woo) ('Cause uptown funk gon' give it to you) 'Cause uptown funk gon' give it to you Saturday night and we in the spot Don't believe me, just watch, come on [Chorus] Doh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh-doh, doh-doh) Don't believe me, just watch, uh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh–) Don't believe me, just watch, uh Don't believe me, just watch, uh Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh [Verse 2] Stop, wait a minute Fill my cup, put some liquor in it Take a sip, sign the check Julio, get the stretch Ride to Harlem, Hollywood, Jackson, Mississippi If we show up, we gon' show out Smoother than a fresh jar of Skippy [Refrain] I'm too hot (Hot damn) (Doh) Call the police and the fireman (Doh-doh-doh, doh-doh-doh, doh-doh) I'm too hot (Hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Make a dragon wanna retire, man I'm too hot (Too hot, hot damn, hot damn) (Doh-doh-doh, doh-doh-doh, doh-doh) Bitch, say my name, you know who I am I'm too hot (Hot damn) (Doh-doh-doh, doh-doh, doh, doh) Uh, and my band 'bout that money, break it down [Pre-Chorus] Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) Girls hit your hallelujah (Woo) 'Cause uptown funk gon' give it to you (Woo) ('Cause uptown funk gon' give it to you) 'Cause uptown funk gon' give it to you Saturday night and we in the spot Don't believe me, just watch, come on [Chorus] Doh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh-doh, doh-doh) Don't believe me, just watch, uh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh–) Don't believe me, just watch, uh Don't believe me, just watch, uh Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh [Bridge] (Doh) (Doh-doh-doh, doh-doh-doh, doh-doh) Before we leave (Doh-doh-doh, doh-doh-doh, doh-doh) Lemme tell y'all a lil' something Uptown funk you up, uptown funk you up (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up, uptown funk you up, uh (Doh-doh-doh, doh-doh-doh, doh-doh) I said, uptown funk you up, uptown funk you up, uh (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up, uptown funk you up, come on (Doh-doh-doh, doh-doh, doh, doh) Dance, jump on it (Doh-doh-doh, doh-doh-doh, doh-doh) If you sexy, then flaunt it If you freaky, then own it (Doh-doh-doh, doh-doh-doh, doh-doh) Don't brag about it, come show me, come on Dance, jump on it (Doh-doh-doh, doh-doh-doh, doh-doh) If you sexy, then flaunt it Well, it's Saturday night and we in the spot Don't believe me, just watch, come on [Chorus] Doh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh-doh, doh-doh) Don't believe me, just watch, uh Doh-doh-doh, doh-doh-doh, doh-doh (Ya) (Doh-doh-doh, doh-doh–) Don't believe me, just watch, uh Don't believe me, just watch, uh Don't believe me, just watch Don't believe me, just watch Hey, hey, hey, oh [Outro] Uptown funk you up (Woo, come on) (Doh) Uptown funk you up (Hey, say what?) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Hey) (Doh-doh-doh, doh) Uptown funk you up (Come on) (Doh) Uptown funk you up (Woo, come on) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Hey, say what?) Uptown funk you up (Hey) Uptown funk you up (Come on) (Doh) Uptown funk you up (Woo, come on) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Hey, say what?) Uptown funk you up (Hey) (Doh-doh-doh, doh) Uptown funk you up (Come on) (Doh) Uptown funk you up (Ah) (Doh-doh-doh, doh-doh-doh, doh-doh) Uptown funk you up (Say what?) Uptown funk you up Aw, ow"
John Legend,All of Me,2013,soul,"[Verse 1] What would I do without your smart mouth? Drawing me in and you kicking me out You've got my head spinning, no kidding I can't pin you down What's goin' on in that beautiful mind? I'm on your magical mystery ride And I'm so dizzy, don't know what hit me But I'll be alright [Pre-Chorus] My head's under water, but I'm breathing fine You're crazy and I'm out of my mind [Chorus] 'Cause all of me loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me, I'll give my all to you You're my end and my beginning Even when I lose, I'm winning [Post-Chorus] 'Cause I give you all of me And you give me all of you, oh-oh [Verse 2] How many times do I have to tell you? Even when you're crying, you're beautiful, too The world is beating you down, I'm around Through every mood You're my downfall, you're my muse My worst distraction, my rhythm and blues I can't stop singing, it's ringing In my head for you [Pre-Chorus] My head's under water, but I'm breathing fine You're crazy and I'm out of my mind [Chorus] 'Cause all of me loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me, I'll give my all to you You're my end and my beginning Even when I lose, I'm winning [Post-Chorus] 'Cause I give you all of me And you give me all of you, oh-oh [Bridge] Give me all of you, oh Cards on the table, we're both showing hearts Risking it all, though it's hard [Chorus] 'Cause all of me loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me, I'll give my all to you You're my end and my beginning Even when I lose, I'm winning [Post-Chorus] 'Cause I give you all of me And you give me all of you [Outro] I give you all of me And you give me all of you, oh-oh"
Ravyn Lenae,Love Me Not,2024,soul,"See, right now, I need you, I'll meet you somewhere now You up now, I see you, I get you, take care now Slow down, be cool, I miss you, come here now It's yours now, keep it, I'll hold out until now I need you right now, once I leave you I'm strung out If I get you, I'm slowly breaking down [Chorus] And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here [Post-Chorus] He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go [Verse 2] Soon as you leave me, we always lose connection It's gettin' messy, I fiend for your affection Don't loosen your grip got a hold on me Now, forever, let's get back together [Pre-Chorus] Lord, take it so far away I pray that, God, we don't break I want you to take me up and down And round and round again [Chorus] And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here [Post-Chorus] He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go [Bridge] You're gonna say that you're sorry at the end of the night Wake up in the morning, everything's alright At the end of the story, you're holdin' me tight I don't need to worry, am I out of my mind? [Chorus] And, oh, it's hard to see you, but I wish you were right here (I'm losing my mind) Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here"
Frank Ocean,Thinkin Bout You,2012,soul,"A tornado flew around my room before you came Excuse the mess it made, it usually doesn't rain in Southern California, much like Arizona My eyes don't shed tears, but, boy, they pour when [Pre-Chorus] I'm thinkin' 'bout you, ooh, no, no, no I've been thinkin' 'bout you, you know, know, know I've been thinkin' 'bout you, do you think about me still? Do ya, do ya? [Chorus] Or do you not think so far ahead? 'Cause I been thinkin' 'bout forever, ooh Or do you not think so far ahead? 'Cause I been thinkin' 'bout forever, ooh [Verse 2] No, I don't like you, I just thought you were cool enough to kick it Got a beach house I could sell you in Idaho Since you think I don't love you, I just thought you were cute That's why I kissed you Got a fighter jet, I don't get to fly it though I'm lying down [Pre-Chorus] Thinkin' 'bout you, ooh, no, no, no I've been thinkin' 'bout you, you know, know, know I've been thinkin' 'bout you, do you think about me still? Do ya, do ya? [Chorus] Or do you not think so far ahead? 'Cause I been thinkin' 'bout forever, ooh Or do you not think so far ahead? 'Cause I been thinkin' 'bout forever, ooh [Bridge] Yes, of course, I remember, how could I forget (How could I forget) How you feel? (How you feel?) You know you were my first time, a new feel It won't ever get old, not in my soul, not in my spirit, keep it alive We'll go down this road 'til it turns from color to black and white [Chorus] Or do you not think so far ahead? 'Cause I been thinkin' 'bout forever, ooh Or do you not think so far ahead? 'Cause I been thinkin' 'bout forever, ooh"
Frank Ocean,Ivy,2016,soul,"I thought that I was dreamin' when you said you love me The start of nothin' I had no chance to prepare, I couldn't see you comin' The start of nothin' Ooh, I could hate you now It's quite alright to hate me now When we both know that deep down The feeling still deep down is good [Verse 1] If I could see through walls, I could see you're fakin' If you could see my thoughts, you would see our faces Safe in my rental like an armored truck back then We didn't give a fuck back then I ain't a kid no more We'll never be those kids again We'd drive to Syd's Had the X6 back then, back then No matter what I did, my waves wouldn't dip back then Everything sucked back then, we were friends [Chorus] I thought that I was dreamin' when you said you love me The start of nothin' I had no chance to prepare, I couldn't see you comin' The start of nothin' Ooh, I could hate you now It's quite alright to hate me now But we both know that deep down The feeling still deep down is good [Verse 2] In the halls of your hotel Arm around my shoulder so I could tell How much I meant to you, meant it sincere back then We had time to kill back then You ain't a kid no more, we'll never be those kids again It's not the same, ivory's illegal, don't you remember? [Bridge] I broke your heart last week You'll probably feel better by the weekend Still remember, had you going crazy Screamin' my name, the feeling deep down is good [Chorus] I thought that I was dreamin' when you said you love me The start of nothin' Had no chance to prepare, couldn't see you comin' And we started from nothin' Ooh, I could hate you now It's alright to hate me now We both know that deep down The feeling still deep down is good [Outro] All the things I didn't mean to say, I didn't mean to do There were things you didn't need to say, did you mean to? Mean to? I've been dreamin' of you, dreamin' of you I've been dreamin' of you, dreamin' of you I've been dreamin', dreamin'"
Ravyn Lenae,Love Me Not,2024,soul,"See, right now, I need you, I'll meet you somewhere now You up now, I see you, I get you, take care now Slow down, be cool, I miss you, come here now It's yours now, keep it, I'll hold out until now I need you right now, once I leave you I'm strung out If I get you, I'm slowly breaking down [Chorus] And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here [Post-Chorus] He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go [Verse 2] Soon as you leave me, we always lose connection It's gettin' messy, I fiend for your affection Don't loosen your grip got a hold on me Now, forever, let's get back together [Pre-Chorus] Lord, take it so far away I pray that, God, we don't break I want you to take me up and down And round and round again [Chorus] And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking we could never be a pair Oh, no, I don't need you, but I miss you, come here And, oh, it's hard to see you, but I wish you were right here Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here [Post-Chorus] He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go He love me not, he loves me He holds me tight, then lets me go [Bridge] You're gonna say that you're sorry at the end of the night Wake up in the morning, everything's alright At the end of the story, you're holdin' me tight I don't need to worry, am I out of my mind? [Chorus] And, oh, it's hard to see you, but I wish you were right here (I'm losing my mind) Oh, it's hard to leave you when I get you everywhere All this time I'm thinking, I'm strong enough to sink it Oh, no, I don't need you, but I miss you, come here"
Adele,Skyfall,2012,soul,"[Verse 1] This is the end Hold your breath and count to ten Feel the Earth move, and then Hear my heart burst again For this is the end I've drowned and dreamt this moment So overdue, I owe them Swept away, I'm stolen [Chorus] Let the sky fall When it crumbles We will stand tall Face it all together Let the sky fall When it crumbles We will stand tall Face it all together at Skyfall At Skyfall [Verse 2] Skyfall is where we start A thousand miles and poles apart Where worlds collide and days are dark You may have my number, you can take my name But you'll never have my heart [Chorus] Let the sky fall (Let the sky fall) When it crumbles (When it crumbles) We will stand tall (We will stand tall) Face it all together Let the sky fall (Let the sky fall) When it crumbles (When it crumbles) We will stand tall (We will stand tall) Face it all together at Skyfall [Post-Chorus] Let the sky fall When it crumbles We will stand tall Let the sky fall When it crumbles We will stand tall [Bridge] Where you go I go What you see I see I know I'd never be me without the security Of your loving arms keeping me from harm Put your hand in my hand and we'll stand [Chorus] Let the sky fall (Let the sky fall) When it crumbles (When it crumbles) We will stand tall (We will stand tall) Face it all together Let the sky fall (Let the sky fall) When it crumbles (When it crumbles) We will stand tall (We will stand tall) Face it all together at Skyfall [Outro] Let the sky fall We will stand tall At Skyfall Ooh"
Frank Ocean,Lost,2012,soul,"[Verse 1] Double D, big full breasts on my baby (Yo, we goin' to Florida) Triple weight, couldn't weigh the love I've got for the girl And I just wanna know, why you ain't been goin' to work? Boss ain't workin' you like this, he can't take care of you like this [Chorus] Now you're lost, lost in the heat of it all Girl, you know you're lost, lost in the thrill of it all Miami, Amsterdam, Tokyo, Spain, lost Los Angeles, India, lost on a train, lost [Verse 2] Got on my buttercream silk shirt, and it's Versace (There he goes, one of God's own prototypes) Hand me my triple weight, so I can weigh the work I got on you, girl (Too weird to live and too rare to die) No, I don't really wish, I don't wish the titties would show No, have I ever, have I ever let you get caught? (Oh) [Chorus] Lost, lost in the heat of it all Girl, you know you're lost, lost in the thrill of it all Miami, Amsterdam, Tokyo, Spain, lost Los Angeles, India, lost on a train, lost [Verse 3] She's at a stove (Who?), can't believe I got her out here cookin' dope (Cookin' dope) I promise she'll be whippin' meals up for a family of her own some day Nothin' wrong, no, nothin' wrong with a lie (Nothin' wrong, ain't nothin' wrong, ooh) Nothin' wrong with another short plane ride through the sky, you and I (Ain't nothin' wrong, ain't nothin' wrong, up in the sky, just you and I) [Chorus] Lost (Ooh), lost in the heat of it all Girl, you know you're lost (Ooh), lost in the thrill of it all Miami, Amsterdam, Tokyo, Spain, lost (Ooh, ooh, ooh, ooh) Los Angeles, India, lost on a train, lost (Ooh, ooh, ooh, ooh) [Outro] Love lost, lost Love, love, love lost, lost Love, love, love lost Love, love, love lost Faith is the substance— ¡Manos arriba!— And the other channel on the—"
